comment,label,processed,processed_baku
Tolong tambahkan fitur log in pakai sidik jari/face id.,0,tolong fitur log in pakai sidik jari face id,tolong fitur log pakai sidik jari id
Akun Tiba2 di Blokir Kan Aneh 🤦🤦🤦🤦 . Tolong lebih di tingkatkan gy,-1,akun di blokir aneh tolong di tingkat gy,akun di blokir aneh tolong di tingkat
"Saya sudah dowload myBca,malah sudah berhasil ,tapi tiap login terus saja harus ada verivikasi diri anda lewat halo bca,dan itupun sdh saya lakukan,malah ID Laporabyapun sdh sy tulid kemudian katanya tunggu 2 hari kerja nanti ada yg nlp,tapi sampai hari ini sdh lebih dari 6 hari ga ada sama sekali yg nlp,saya jadi heran bank sebesar bca pelayananya jelek bikin kecewa saja",-1,sudah dowload mybca sudah hasil tiap login verivikasi anda halo bca itu sdh laku id laporabyapun sdh sy tulid kata tunggu kerja ada nlp sampai ini sdh dari tidak ada sama yang nlp jadi heran bank bca pelayananya jelek bikin kecewa saja,sudah mybca sudah hasil tiap terus harus verivikasi anda halo dan laku id sdh tulid kata tunggu kerja sampai ini sdh lebih hari tidak ada sama yang nlp saya heran bank bca jelek bikin kecewa
Susah mau aktivasi nya butuh bbrp x .dan di ulang2 lagi.ujung2nya suruh ke kantor cabang terdekat .,-1,susah aktivasi nya butuh bbrp x di ulang ujung nya suruh kantor cabang,susah aktivasi butuh x di ulang ujung suruh kantor cabang
"Serba ribet, Eror tidak bisa buat transfer. Pembaruan malah erorr. Payah",-1,serba ribet error tidak bisa transfer baru error payah,serba error tidak bisa transfer baru error payah
"Saya mengharapkan agar segera tersedia fitur yg ada di mBCA tersedia juga di myBCA, di myBCA belum begitu lengkap kaya mBCA dan adain juga fitur fingerprin jadi setiap mau masuk Ke MyBCA bisa gunakan Fingerprin agar mudah",0,harap segera sedia fitur ada mbca sedia mybca di mybca begitu lengkap kaya mbca adain fitur fingerprin tiap masuk mybca bisa guna fingerprin mudah,harap segera sedia yang di sedia di di belum lengkap kaya dan juga tiap masuk mybca bisa guna fingerprin agar mudah
"Intinye jangan lemot Bae,, harusnye di permudeh ye, masih canggih technologi negara laen",-1,intinye lot bae harusnye permudeh ye canggih technologi negara laen,jangan lot harusnye permudeh masih canggih negara
Bagusss bangetttt... Notif saldo masuk dan keluar dong min di bikinnn,1,bagusss bangetttt notif saldo masuk keluar min bikinnn,bangetttt saldo masuk keluar min bikinnn
Aplikasi yg ngga bagus data bs bocor...ribet juga hrs verif2 diri kirim2 pulsa teros,-1,aplikasi tidak bagus data bisa bocor ribet hrs verif kirim pulsa ros,aplikasi tidak bagus data bisa bocor juga verif kirim pulsa ros
Keren dan mudah menggunakannya,1,keren mudah guna,keren mudah guna
Ribet bnget pengen daftar.. Dulu gampang aja,-1,ribet bnget ken daftar gampang aja,bnget ken daftar gampang aja
Simple dan memuaskan,1,simple muas,dan muas
Sangat membantu..terutama menu trf,1,bantu utama menu trf,bantu utama menu
menunya kurang komplit,-1,menu komplit,menu komplit
"Sering minta aktivasi via SMS, padahal aktivasi pertama sudah berhasil",-1,minta aktivasi via sms aktivasi sudah hasil,minta via padahal pertama hasil
Praktis dan simpel,1,praktis simpel,praktis simpel
"Rumit parah harus SMS inilah itulah.. langsung saya uninstall, mending yg sebelah aja",-1,rumit parah sms itu langsung uninstall mending belah aja,rumit parah sms itu langsung uninstall mending belah aja
"Fiturnya lengkap, 👍👍👍👍",1,fiturnya lengkap,lengkap
Sudah registrasi sudah aktifasi email tp login masih di arahin ke sms lagi. Kenapa?,-1,registrasi aktifasi email tp login di arahin sms kenapa,registrasi aktifasi email login di ke lagi
"Kasih bintang 1 dulu aplikasinya jelek sering keluar sendiri apalagi kalo habis pembaharuan, hub Halo BCA katanya akan diproses 2 hari kerja oleh pihak terkait, setelah ditunggu 2 hari kerja sama sekali blm dihubungi pihak terkait, mungkin pihak terkaitnya lagi sibuk sekali 😀😀 Setelah 2 hari nunggu tak kunjung ada kejelasan, hari ketiga nelp kembali jawaban sama suruh nunggu pihak terkait mau menghungi, bener bener aplikasi terburuk sepanjang masa",-1,kasih bintang aplikasi jelek keluar apalagi kalo habis baharu hub halo bca akan proses kerja kait tunggu kerja hubung kait pihak kait sibuk sekali telah nunggu tak kunjung jelas tiga nelp jawab suruh nunggu pihak kait menghungi bener bener aplikasi buruk masa,kasih bintang aplikasi jelek keluar apalagi kalo habis baharu halo kata proses kerja kait tunggu kerja hubung pihak kait pihak kait sibuk sekali telah tak kunjung jelas tiga kembali sama suruh nunggu pihak kait menghungi bener aplikasi buruk masa
"udah keambil pulsa nya malah gabisa2,adhh ampun ,kecewa bgtt dh",-1,udah ambil pulsa nya tidak bisa adhh ampun kecewa bgtt dh,ambil pulsa malah tidak bisa ampun kecewa dh
"Ribet aplikasi lu, BRENGSEK . Gue kaga pindah2 device di anggap pindah2 Device.",-1,ribet aplikasi lu brengsek gue kaga pindah device anggap pindah device,aplikasi brengsek gue pindah di anggap pindah
"Aneh. 3 aja, knpa gk di satuin sama m banking aja? Biar lbh praktis?",0,aneh aja tidak satuin m banking aja biar lbh praktis,aneh aja tidak satuin m aja biar praktis
"Ribet , pulsa dah habis 12.500 aktivasi belum jg kelar ,malah di suruh pakek aplikasi Wilmar ...... Ribet",-1,ribet pulsa dah habis aktivasi jg kelar di suruh pakek aplikasi wilmar ribet,pulsa dah habis belum kelar di suruh aplikasi ribet
Lebih memudahkan bagi anda yg memiliki rekening BCA lebih dari 1 .. Mantap lah .. Kembangkan terus aplikasinya 👍👍👍👍,1,mudah anda milik rekening bca dari mantap kembang aplikasi,mudah anda milik rekening lebih mantap kembang aplikasi
Kenapa setiap vertifikasi gagal terus nyedot pulsa doang kurang bagus,-1,tiap vertifikasi gagal nyedot pulsa doang bagus,tiap gagal nyedot pulsa doang bagus
"Kenapa verifikasi gak di 1 aplikasi saja, dan aplikasi lain juga, jadi gak ribet download saja sini",-1,verifikasi tidak aplikasi dan aplikasi lain jadi tidak ribet download sini,verifikasi tidak aplikasi dan aplikasi lain jadi tidak download sini
Susah banget buat log in gagal terus,-1,susah banget log in gagal,susah banget log gagal
Fitur Qris belum bisa di gunakan,-1,fitur qris bisa guna,qris bisa guna
ga bisa di pake transfer.. tolong segera di perbaiki,-1,tidak bisa pake transfer tolong di baik,tidak bisa pake transfer tolong di baik
Lebih fresh dan lebih mudah... Kembangkan terus..!!,1,fresh lebih mudah kembang,fresh lebih mudah kembang
"Suka banget pake mybca, fiturnya banyak, cara pakenya gampang kaya pake mbanking",1,suka banget pake mybca fiturnya cara pakenya gampang kaya pake mbanking,suka banget mybca banyak pakenya gampang kaya mbanking
"Keren Banget, 1 Aplikasi untuk semua rekening",1,keren banget aplikasi semua rekening,keren banget aplikasi semua rekening
"Jurjurly bgs pollll!!!,palingan sy cmn g bisa cara login wajar Rada bingung,tp sejujurnya kalau dh ngerti bgs la ni apk",1,jurjurly bagus pollll sy cmn tidak bisa login wajar rada bingung tp jujur dh ngerti bagus la ni apk,bagus paling cmn tidak bisa login wajar rada bingung jujur dh bagus ni
Tolong transaksi favorit bisa dihapus atau kita atur sesuai dengan kebutuhan kami,0,tolong transaksi favorit bisa hapus kita atur sesuai butuh,tolong transaksi favorit bisa hapus kita atur sesuai butuh
Kenapa saat buat user id di bilang error terus?,0,saat user id bilang error,saat user di bilang terus
Fitur cardless bisa sangat membantu,1,fitur cardless bisa bantu,cardless bisa bantu
Update bayar pake QRIS min 🙏🏻 sama ada cardles biar makin simple,1,update bayar pake qris min ada cardles biar simple,bayar qris min ada biar simple
Cara registrasi gmn bos uda coba bolak balik id gagal login apa harus ke bank..,-1,registrasi gmn bos uda coba bolak id gagal login harus bank,registrasi bos uda coba bolak id gagal apa ke bank
Sangat membantu dlm pekerjaan sehari2,1,bantu dlm kerja,bantu kerja
Sangat membantu kapanpun dimanapun BCA tetap yg terbaik,1,bantu mana bca yang baik,bantu mana tetap baik
"Udah registrasi, eeeh pas login suruh verifikasi dulu dgn cara nlp ke Halo BCA.. Buseeett... Ribet amaaat..",-1,udah registrasi eeeh pas login suruh verifikasi dgn nlp halo bca buseeett ribet amaaat,registrasi pas suruh verifikasi dgn nlp halo buseeett amaaat
"Tidak jelas, saya mau login tapi gabisa masuk",-1,tidak jelas mau login tidak bisa masuk,tidak jelas mau tapi tidak bisa masuk
"saran kalo bisa di kasih semua transaksi seperti mutasi dll, Jadi di M-banking bisa liyt Di myBCA juga bisa liyt Jaga2 klo setuasi seperti ini Sy jadi gabisa liyt mutasi dari pagi Banyak orang transfer Tpi belom muncul saldonya di myBCA Di m BCA malah parah ga bisa di akses",-1,saran kalo bisa kasih transaksi mutasi dll m banking bisa liyt mybca bisa liyt jaga klo tuas ini sy tidak bisa liyt mutasi pagi orang transfer tpi bom muncul saldo mybca m bca parah tidak bisa di akses,saran kalo bisa kasih transaksi mutasi jadi m bisa juga bisa jaga tuas ini jadi tidak bisa mutasi pagi orang transfer bom muncul saldo mybca m malah parah tidak bisa di akses
Sangat membantu untuk proses kerja,1,bantu proses kerja,bantu proses kerja
Mudah dan praktis,1,mudah praktis,mudah praktis
"Dikit2 keluar sendiri. Musti login lagi. Butuh pulsa, ngabisin pulsa. Dah uninstall aja.",-1,dikit sendiri musti login butuh pulsa ngabisin pulsa dah uninstall aja,dikit sendiri login butuh pulsa pulsa dah aja
Good smua lebih simple dan cepat dengan MyBCA,1,good smua simple cepat mybca,smua simple cepat mybca
Praktis dan mudah,1,praktis mudah,praktis mudah
Bagus..tpi pakai sidik jari dong..biar gak ribet ngetik,1,bagus tpi pakai sidik jari biar tidak ribet ngetik,bagus pakai sidik jari biar tidak ngetik
Kalo bisa verifikasi dibuat otomatis,0,kalo bisa verifikasi otomatis,kalo bisa verifikasi otomatis
"Sudah download dan activasi,di suruh TLP halo BCA. Giliran masuki harus ferivikasi lg ke halo BCA.. Telp halo BCA lagi dan di bilang sudah berhasil activasi..giliran login suruh verifikasi lg..maunya apa coba..UNINSTAL",-1,download activasi suruh tlp halo bca gilir masuk ferivikasi lg halo bca telp halo bca dan bilang hasil activasi gilir login suruh verifikasi lg apa coba uninstal,download suruh halo gilir masuk ferivikasi ke halo telp halo lagi di bilang hasil activasi gilir suruh verifikasi mau coba
"Hanya dapat lihat 1 rekening, tidak dapat lihat semua rekening meski 1 bank ...",-1,lihat rekening tidak dapat lihat rekening bank,lihat rekening tidak dapat lihat rekening bank
ngabisin pulsa padahal gaada problem di jaringan sama kartu atm tapi verifikasi sms gagal terus,-1,ngabisin pulsa tidak problem jaring kartu atm verifikasi sms gagal,pulsa tidak problem jaring kartu tapi verifikasi gagal
Hape di reset ulang. Aplikasi lgsg di blokir. Padahal butuh transaksi hampir setiap hari. Mau diaktifin lagi prosesnya belibet. Di ping pong. Ke KCP disuruh telp ke halo bca. Telp ke halo bca blg di KCP jg bisa. Yg bener siapa? Ini 1 perusahaan kan?!? Profesionalisme diperbaiki untuk bank yg sebesar BCA. Bukan pertama kali kendala di BCA. Semoga beneran dihubungin ya dalam 2/3 hari utk verifikasi ?!?! Petugas CS byk diem dan ga jawab dari awal. Berasa ngomong sama angin. Betul2 merepotkan.,-1,hape reset ulang aplikasi lgsg blokir butuh transaksi tiap mau diaktifin proses belibet ping pong kcp suruh telp halo bca telp halo bca blg kcp jg bisa bener ini usaha profesionalisme baik bank besar bca pertama kali kendala bca moga beneran dihubungin ya hari utk verifikasi tugas cs byk diem tidak dari asa ngomong angin repot,ulang aplikasi blokir butuh transaksi tiap mau lagi proses di pong kcp suruh halo telp ke halo blg di kcp bisa bener ini usaha profesionalisme baik bank besar bukan kali kendala di bca moga dihubungin dalam utk verifikasi tugas byk dan tidak dari asa sama angin repot
"aplikasi masih mentah, cuma buang - buang pulsa",-1,aplikasi mentah buang buang pulsa,aplikasi mentah buang buang pulsa
ini sudah aktivasi berkali kali kenapa tidak bisa masuk ???????,-1,sudah aktivasi kali kali tidak bisa masuk,sudah kali kali tidak bisa masuk
"Mengapa hingga saat ini tidak ada fitur tarik tunai cardless ya, sebab saya sangat jarang pakai atm card sejak ada fitur cardless di bca mobile. Kalau bisa di gabung saja semua fitur bca mobile ke MyBCA",-1,hingga ini tidak fitur tarik tunai cardless ya saya jarang pakai atm card ada fitur cardless bca mobile bisa gabung semua fitur bca mobile mybca,hingga ini tidak tarik tunai ya saya jarang pakai card ada cardless bca kalau bisa gabung semua fitur bca ke
"susah buat transaksi finansial,di suruh masukin no kartu ATM malah gak bisa",-1,susah transaksi finansial suruh masukin no kartu atm tidak bisa,susah transaksi finansial suruh no kartu malah tidak bisa
Ok yg penting lancar gak bnyak gitu gini pendaftarannya,1,ok penting lancar tidak bnyak gitu gin daftar,yang lancar tidak gitu gin daftar
Mantap aplikasinya dan nyaman sekali.,1,mantap aplikasi nyaman,mantap aplikasi nyaman
"Halo knp gabisa dibuka ya ? Sebelum2nya bisa, bru ini gabisa dibuka diupdate jg gabisa dibuka",-1,halo tidak bisa buka ya nya bisa bru tidak bisa buka diupdate jg tidak bisa buka,halo tidak bisa buka belum bisa ini tidak bisa buka jg tidak bisa buka
Untuk apk myBCA nya sudah cukup bagus.. Hanya saja untuk pembukaan rek tahapan berjangka blom bisa di apk myBCA Semoga kedepan nya bisa melakukan pembukaan rek tahapan berjangka di myBCA,1,apk mybca nya cukup bagus saja buka rek tahap jangka bisa apk mybca moga nya bisa laku buka rek tahap jangka mybca,apk nya cukup bagus saja buka rek tahap jangka bisa apk moga nya bisa laku buka rek tahap jangka mybca
"Gimana sih baru sekali login ke my bca,ID BCA nya keblokir...tolong di perbaiki dong.....",-1,gimana sih baru login my bca id bca nya blokir tolong baik,sih baru login my id nya blokir tolong baik
HaLo BCA...?? Bisa logout trus minta verifikasi ulang itu jangan sering2. Pulsa lagi dong....hadeh,-1,halo bca bisa logout trus verifikasi ulang jangan pulsa dong hadeh,halo bisa trus verifikasi ulang jangan pulsa dong
👍👍👏👏aplikasi yg sangat keren futuristik banget,1,aplikasi sangat keren futuristik banget,aplikasi sangat keren futuristik banget
"Fitur nya sdikit cma bisa buat tf, itu pun kalo tf k norek baru hrus sms dlu bayar pula.. Gk basgu",-1,fitur nya sdikit cma bisa tf pun kalo tf k norek baru hrus sms dlu bayar tidak basgu,nya cma bisa pun kalo tf k baru sms bayar tidak
Buat yang punya rekening bca lebih dari satu aplikasi ini sangat membantu...,1,yang rekening bca dari aplikasi sangat bantu,yang rekening lebih satu aplikasi sangat bantu
mau login kok terjjadi kesalahan terus ya,-1,login terjjadi salah ya,login terjjadi salah ya
"Tolong min ditambahin opsi dark mode, biar ga silaw pas dipakai malam hari. Terima kasih :)",0,tolong min ditambahin opsi dark mode biar tidak silaw pas pakai malam terima kasih,tolong min opsi mode biar tidak pas pakai malam terima kasih
"Kalo bisa buat opsi untuk menghapus riwayat transaksi, berikanlah kebebasan untuk menghapus.",0,kalo bisa opsi hapus riwayat transaksi bebas hapus,kalo bisa opsi hapus riwayat transaksi bebas hapus
"aplikasi jelek tidak bisa masuk,",-1,aplikasi jelek tidak bisa masuk,aplikasi jelek tidak bisa masuk
Tolong tambahkan icon gambar dalam scanner untuk input gambar qris dari galeri hp,0,tolong icon gambar scanner input gambar qris galeri hp,tolong icon gambar scanner input gambar dari galeri
Susah banget registrasi nya mana pulsa nya nyedot bgt lagi,-1,susah banget registrasi nya pulsa nya nyedot bgt,susah banget registrasi mana pulsa nyedot lagi
"Tampilan aplikasi ini lebih menarik dari pada Mbanking BCA, tapi sayangnya masih minim akses yang ditawarkan.",1,tampil aplikasi lebih tarik pada mbanking bca sayang minim akses tawar,tampil aplikasi lebih tarik pada bca sayang minim akses tawar
Mudah dan praktis,1,mudah praktis,mudah praktis
"Sudah berbulan"" mau register ga bisa"" padahal tinggal proses vertifikasi",-1,bulan register tidak bisa tinggal proses vertifikasi,bulan register tidak bisa tinggal proses
Sangat kecewa baru didaftar lgsg diblokir suruh telpon 150888 udah telpon nunggu di telpon balik 2 hari kerja.percumah dong hub 150888,-1,kecewa baru daftar lgsg blokir suruh telpon udah telpon nunggu telpon hari kerja percumah hub,kecewa baru daftar blokir suruh telpon telpon di telpon hari kerja dong
Tambahkan QR Code dan jangan pakai sms jika menambahkan rekening baru untuk transfer seperti mBCA... Sukses selalu 👍,1,qr code jangan pakai sms tambah rekening baru transfer mbca sukses,qr dan pakai jika rekening baru transfer mbca sukses
Login bolak-balik ke awal terus...,-1,login bolak ke terus,bolak ke terus
Tolong ditambahin fitur akses masuk dan transaksi melalui konfirmasi menggunakan finger print / face id karena sudah banyak bank sudah menggunakan fitur tersebut demi keamanan transaksi perbankan online.,0,tolong ditambahin fitur akses masuk transaksi konfirmasi guna finger print face id bank sudah guna fitur demi aman transaksi perban online,tolong akses masuk transaksi konfirmasi guna print id bank sudah guna fitur sebut aman transaksi perban
hapus aja keblokir terus padahal input bca id sama password sudah benar,-1,hapus aja blokir padahal input bca id password benar,hapus aja blokir padahal bca sama sudah
Aplikasinya bagus banget... gampang cara pakenya,1,aplikasi bagus banget gampang pakenya,aplikasi bagus banget gampang pakenya
"Hebat,. mantap & keren BCA....!!!! Selangkah lebih canggih....",1,hebat mantap keren bca selang canggih,hebat mantap keren selang canggih
tranfer.mutasi bagus tapi kalau tranfer antar bank susah mencari rekening yg di tuju,1,tranfer mutasi bagus kalau tranfer bank susah cari rekening di tuju,mutasi bagus kalau antar bank susah cari rekening di tuju
"E banking... Sangat memudahkan saya dalam ber transaksi... Saya pass banget, BCA is ok",1,e banking mudah dalam ber transaksi pass banget bca is ok,banking mudah dalam transaksi pass banget is
Hati2 y..jangan di coba berulang2... Pulsa anda bisa ludessss aplikasi blm kondusif,-1,hati y di coba ulang pulsa bisa ludessss aplikasi kondusif,hati jangan coba ulang pulsa bisa aplikasi kondusif
Verifikasi diri harus bayar...?.. nd jadi min.. cukup BCA Mobile aja.. diawal sdh ribet.. ntah selanjutnya gmn..,-1,verifikasi harus bayar nd min bca mobile aja sdh ribet ntah gmn,verifikasi harus bayar jadi min bca aja sdh ntah gmn
mantap betulll... kereeeeennnnn abisssss........ update kurs nya tiap hari berguna bngt buat saya......😘😘,1,mantap betulll kereeeeennnnn abisssss update kurs nya hari guna bngt saya,mantap kereeeeennnnn update kurs tiap guna buat
Sip sangat membantu sekali Untuk kelancarannya,1,sip bantu untuk lancar,sip bantu untuk lancar
Apk gak jelasssssss udah registrasi masih tetep gabisa masukkkk najissssssssss,-1,apk tidak jelasssssss udah registrasi tetep tidak bisa masukkkk najissssssssss,tidak udah registrasi tetep tidak bisa najissssssssss
Sangat membantu yg punya 2 atau lebih rekening bca,1,bantu punya lebih rekening bca,bantu punya lebih rekening
"Aplikasi ribet , ngabisin pulsa ga jelas !",-1,aplikasi ribet ngabisin pulsa tidak jelas,aplikasi ngabisin pulsa tidak jelas
"Semenjak pakai myBCA rekening saya sering terblokir, padahal kode akses dan pin ngga pernah salah",-1,semenjak pakai mybca rekening sering blokir kode akses pin tidak salah,semenjak pakai rekening sering blokir kode akses pin tidak salah
Aplikasi banking paling riweh sesi login berakhir mulu..,-1,aplikasi banking riweh sesi login mulu,aplikasi paling sesi akhir
Tambah di mudahkan untuk transfer dan liat mutasi rekening,0,di mudah transfer liat mutasi rekening,di mudah transfer liat mutasi rekening
"INI APLIKASI TAK SEBANDING AMA BANK BCA.. INI APLIKASI KALENG KALENG PENYEDOT PULSA SMS,,, LOGIN AJA VERIFIKASI SMS PULUHAN KALI,,, GILAAA,, BENER BENER BIKIN EMOSI JA.",-1,aplikasi tak banding aman bank bca aplikasi kaleng kaleng sedot pulsa sms login aja verifikasi sms puluh kali gilaaa bener bener bikin emosi ja,aplikasi tak banding aman bank ini aplikasi kaleng kaleng sedot pulsa login aja verifikasi puluh kali bener bikin emosi
"Bolak balek update, habis pulsa utk otp.. Haduhhh",-1,bolak balek update habis pulsa utk otp haduhhh,bolak update habis pulsa otp
Cukup membantu 👍 Untuk notifikasinya masih lama kah?,1,bantu notifikasi lama kah,bantu notifikasi lama kah
Ngeri nya bisa buka mutasi sampe ke tahun 2016 🤣🤣🤣🤣🤣🤣 BANK BNI loh cuma bisa buka mutasi bulan lalu aja 31 hari 😁😁😁😁😁😁😁 mandiri cuma bisa 6 bulan,-1,ngeri nya bisa buka mutasi sampe tahun bank bni loh bisa buka mutasi lalu aja mandiri bisa,ngeri bisa buka mutasi ke bank loh bisa buka mutasi lalu aja mandiri bisa
Ini kenapa verifikasi yg sms gagal mulu ya?,-1,kenapa verifikasi sms gagal mulu ya,kenapa verifikasi sms gagal ya
"Tiba tiba keblokir, pdahal password udah bener. Parah bener2 ingin nguras pulsa",-1,tiba blokir pdahal password udah bener parah bener nguras pulsa,tiba blokir password parah bener ingin pulsa
"Gagal terus coba lagi, Sampai pulsa habis di sedot",-1,gagal coba sampai pulsa habis sedot,gagal coba sampai pulsa habis sedot
"Baik atm banyak tp kantor antri panjang, gmn cara naikan limit tranfer",0,baik atm tp kantor antri gmn naik limit tranfer,baik banyak kantor antri gmn naik limit
"Saran : Sidik jari , Ganti Kartu via Aps , Cardless . Verifikasi diri via cs sngt tidak efisien . Ganti nomor hp via aps",0,saran sidik jari ganti kartu via aps cardless verifikasi via cs sngt tidak efisien ganti nomor hp via aps,saran sidik jari ganti kartu via cardless verifikasi via sngt tidak efisien ganti nomor via
"Udah bisa BI Fast, sekarang udah bisa bayar pake QRIS. Fitur fitur lainnya segera menyusul. I'm in love with BCA.",1,udah bisa bi fast udah bisa bayar pake qris fitur fitur lain susul i m in love with bca,bisa fast udah bisa bayar qris fitur lain susul m love bca
APLIKASI PEMAKAN PULSA... Untuk masukkan id... nasabah di bebankan biaya sms..,-1,aplikasi makan pulsa masuk id nasabah beban biaya sms,aplikasi makan pulsa masuk nasabah beban biaya
Sampe abis pulsa gk bisa² login.,-1,sampe abis pulsa tidak bisa login,abis pulsa tidak bisa
Lengkapi fitur-fiturnya agar lebih memudahkan nasabah,0,lengkap fitur fiturnya lebih mudah nasabah,lengkap fiturnya lebih mudah nasabah
"Aplikasi ini sangat membantu aktivitas keuangan sehari-hari, pokoknye tob",1,aplikasi sangat bantu aktivitas uang hari pokoknye tob,aplikasi sangat bantu aktivitas uang hari tob
"Bagus,namun belum lengkap..harap dilengkapi biar tidak kalah sama bank sebelah..",1,bagus belum lengkap harap lengkap biar tidak kalah bank belah,bagus belum lengkap harap lengkap biar tidak kalah bank belah
Sebelum disebarluaskan alangkah baiknya dicoba keseluruhannya.. Bnyak saya liat komentar komentar yang kurang baik. Anda mengenalkan aplikasi ini kepada konsumen harus lebih baik diutamakan diawal jangan menunggu menunggu komentar banyak kendala. Terimakasih,-1,disebarluaskan alangkah baik coba bnyak liat komentar komentar kurang baik kenal aplikasi kepada konsumen lebih baik utama jangan tunggu tunggu komentar kendala terimakasih,disebarluaskan alangkah baik coba bnyak liat komentar komentar kurang baik kenal aplikasi kepada konsumen lebih baik utama jangan tunggu tunggu komentar kendala
"Udah 3 kali ke blokir sendiri, padahal gk salah masukin pasword atau apa, tau tau pas mau pake keblokir.",-1,udah kali blokir padahal tidak salah masukin pasword apa tau tau pas pake blokir,kali blokir padahal tidak salah pasword apa tau tau pas pake blokir
"Mohon penghapusan daftar rekening bisa di pilih semua, jangan 1 per 1 hapus nya",-1,mohon hapus daftar rekening bisa pilih jangan hapus nya,mohon hapus daftar rekening bisa pilih jangan hapus
ini aplikasi apa'an mau daftar aja.susah klo emg gak niat gak usah nipu daftar aja susah apaan,-1,aplikasi an daftar aja susah klo emg tidak niat tidak nipu daftar aja susah,aplikasi an daftar aja susah emg tidak niat tidak nipu daftar aja susah
"Setelah nunggu sekian hari kerja, saya sudah noted kepada CS bahwa saya bisa dihubungi pukul 12.00 - 13.00 atau mulai pukul 16.00 ke atas... tiba tiba mereka tlp jam 09.00 saat saya lagi sibuk sibuknya kerja gak bisa buka hape (ini bukan salah saya) udah tlp CS lagi malah disuruh nunggu 2 hari lagi! saya kira BCA akan lebih praktis dibanding yg lain, ternyata perkiraan saya SALAH BESAR. Sistem ribet begini kalau terus dipertahankan nasabah bakal kabur. Sayapun akan berpikir ulang!",-1,nunggu sekian kerja sudah noted cs bisa hubung atau pukul atas tiba tlp jam sibuk sibuk kerja tidak bisa buka hape bukan salah udah tlp cs malah suruh nunggu lagi saya bca lebih praktis banding lain nyata kira saya salah sistem ribet kalau tahan nasabah kabur saya akan pikir ulang,sekian kerja sudah kepada bahwa bisa hubung atau pukul atas tiba jam sibuk sibuk kerja tidak bisa buka ini salah udah tlp cs malah suruh nunggu hari saya bca lebih praktis banding lain nyata saya salah sistem begini terus tahan nasabah kabur saya akan pikir ulang
Kirain udh lgkap fiturnya.. Trnyta masih cupu..,-1,kirain udh lgkap fiturnya trnyta cupu,udh fiturnya masih cupu
Mudah2an kedepannya my bca bisa mengadakan fitur2 seperti MBca sebelumnya ..terima kasih,1,mudah an my bca bisa fitur mbca terima kasih,mudah depan bca bisa fitur mbca terima kasih
Sangat mudah dan nyaman,1,mudah nyaman,mudah nyaman
"SAYA MASIH MENANTIKAN UPDATE, MUDAH-MUDAHAN SECEPATNYA. TOLONG TAMBAHIN JUGA MENU CARDLESS... TERIMAKASIH MYBCA😁",1,masih update mudah mudah cepat tolong tambahin menu cardless terimakasih mybca,masih update mudah mudah cepat tolong juga menu terimakasih
Semoga ke depannya login bisa menggunakan Sidik Jari atau sejenisnya,0,moga depan login bisa guna sidik jari jenis,moga depan bisa guna sidik jari jenis
Percuma di download g bisa registrasi.email tidak sesuai terus padahal dah bener.nyesel download buangw Kouta aja,-1,di download tidak bisa registrasi email tidak sesuai padahal dah bener nyesel download buangw kouta aja,di tidak bisa registrasi email tidak sesuai padahal dah nyesel buangw aja
ditunggu untuk fitur-fitur selanjutnya 👍,1,tunggu fitur fitur,tunggu fitur lanjut
Bisa ga sms dihilangkan. Jika masih ada jgn potong pulsa,-1,bisa tidak sms hilang masih jangan potong pulsa,bisa tidak hilang masih jangan potong pulsa
Sama gak bisa aktif.dimintabsms Mulu bayar lagi.gilak ini,-1,tidak bisa aktif dimintabsms mulu bayar gilak,tidak bisa aktif mulu bayar gilak
Pulsa abis buat registrasi ujungnya gagal,-1,pulsa abis registrasi ujung gagal,pulsa abis registrasi ujung gagal
"Tidak bisa log in, kembali ke sms terus",-1,tidak bisa log in ke sms,tidak bisa log kembali sms
Memang BCA selalu memberikan yang terbaik. Sekarang jadi lebih simple.,1,bca beri baik jadi simple,bca beri baik jadi simple
"Kedepannya mohon tambahkan fitur OneKlik, Flazz, dan sign in menggunakan biometrik",1,mohon fitur oneklik flazz sign in guna biometrik,mohon fitur flazz sign guna
"Mwntap ,tingkatkan terus",1,mwntap tingkat,tingkat
Apakah mybca bisa tetap bisa di pakai walau nomor telpon kita cabut..klo mbca kan nda bisa tuh,0,mybca bisa bisa pakai nomor telpon cabut klo mbca tidak bisa tuh,mybca bisa bisa pakai nomor telpon cabut mbca tidak bisa
Fiturnya lebih lengkap..trms,1,fiturnya lengkap trms,lebih lengkap
Kurang 1 ini info kartu kreditnya lagi nyari belum ketemu,0,ini info kartu kredit nyari ketemu,ini info kartu kredit nyari ketemu
saran saya tolong tambahin tarik/setor tunainya biar makin bagus+banyak pengguna🙏,1,saran tolong tambahin tarik setor tunai biar bagus guna,saran tolong tarik setor tunai biar bagus guna
"Pulsa abis 50rb buat regristrasi, nunggu 5 hari, aktivasi di cancel,..... Parah mending jgn di download",-1,pulsa abis rb regristrasi nunggu aktivasi cancel parah mending di download,pulsa abis buat nunggu aktivasi cancel parah mending di
Aplikasi susah masuk verifikasi gak selesai.,-1,aplikasi susah masuk verifikasi tidak selesai,aplikasi susah masuk verifikasi tidak selesai
"Masih cacat, harusnya aplikasi seperti ini belum perlu untuk dirilis",-1,cacat aplikasi ini perlu rilis,cacat aplikasi ini perlu rilis
